subject	predicate	object	evidence_class
CL 0000897	HRA has_marker_component	HGNC 6024	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 533	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 1608	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 10359	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 6347	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 570	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 20369	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 6711	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 3128	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000897	HRA has_marker_component	HGNC 1694	HRA bn-83cd92e30cde3104deb28a68d34226f9
CL 0000899	HRA has_marker_component	HGNC 6373	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 17946	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 11935	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 11185	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 19254	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 12930	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 6024	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 1678	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 17150	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0000899	HRA has_marker_component	HGNC 533	HRA bn-d4ef555b3f150685db2f031e3b82f157
CL 0002586	HRA has_marker_component	HGNC 10294	HRA bn-ec9c1fe08a43a5e7ab993138b0e3497b
CL 0002586	HRA has_marker_component	HGNC 12691	HRA bn-ec9c1fe08a43a5e7ab993138b0e3497b
CL 0002586	HRA has_marker_component	HGNC 10024	HRA bn-ec9c1fe08a43a5e7ab993138b0e3497b
CL 0019018	HRA has_marker_component	HGNC 130	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 8033	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 6143	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 2705	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 2770	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 4881	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 2198	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 7569	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 7883	HRA bn-cf3ea1ba434c1993964c124911dda7fc
CL 0019018	HRA has_marker_component	HGNC 7035	HRA bn-cf3ea1ba434c1993964c124911dda7fc
HRA temp-mge256	HRA has_marker_component	HGNC 17109	HRA bn-885e3c95d1d5859a257e72c61ed6cf1a
HRA temp-mge256	HRA has_marker_component	HGNC 18351	HRA bn-885e3c95d1d5859a257e72c61ed6cf1a
HRA temp-mge256	HRA has_marker_component	HGNC 7549	HRA bn-885e3c95d1d5859a257e72c61ed6cf1a
CL 0001078	HRA has_marker_component	HGNC 1804	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 19084	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 10494	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6463	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 12253	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6373	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6732	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6024	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 28324	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6711	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 6342	HRA bn-78b93a0dbcd82a5b99029df3b018b178
CL 0001078	HRA has_marker_component	HGNC 14189	HRA bn-78b93a0dbcd82a5b99029df3b018b178
PCL 0015075	HRA has_marker_component	HGNC 50645	HRA bn-7b8d407928efb28c4defdaff91ebaf40
PCL 0015075	HRA has_marker_component	HGNC 8951	HRA bn-7b8d407928efb28c4defdaff91ebaf40
PCL 0015077	HRA has_marker_component	HGNC 1033	HRA bn-49c050aa8714c82f00050fdc17e4545a
PCL 0015077	HRA has_marker_component	HGNC 1077	HRA bn-49c050aa8714c82f00050fdc17e4545a
CL 0002138	HRA has_marker_component	HGNC 9459	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 6895	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 14687	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 11924	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 29602	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 8514	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 9666	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 7035	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
