node_id	node_label
PCL 0051227	EMSN_226 medium spiny neuron (Hsap)
FMA 45404	Biceps femoris branch of common fibular nerve
HGNC 1676	CD3W
UBERON 0001687	stapes bone
FMA 12951	Anterior root of fourth cervical nerve
FMA 79658	Dorsal scapular artery
HGNC 26511	HSPB6
FMA 79913	Nerve to flexor digiti minimi brevis of foot
HGNC 9831	RAG1
FMA 53339	Upper deep buccal branch of facial nerve
FMA 53113	Posterior deep temporal nerve
CL 0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
FMA 12699	White communicating ramus of third lumbar anterior ramus
UBERON 0007121	skin nerve field
FMA 11227	Meningeal branch of sixth thoracic nerve
HGNC 11506	SYP
PCL 0051144	DLIT_143 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
UBERON 0004635	thoracic vertebra 11
HGNC 1060	CXCR5
FMA 82706	Caudate lobe branch of right portal vein
HGNC 3614	FCGR1BP
FMA 6201	Pericardial branch of phrenic nerve
HGNC 28838	LHX8
UBERON 0006088	inferior parietal cortex
HGNC 10617	CCL19
PCL 0051009	Mgl_8 microglial cell (Hsap)
UBERON 0001769	iris
PCL 0051145	DLIT_144 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
HGNC 533	ANXA1
FMA 59495	Body of hyoid bone
FMA 16713	Meningeal branch of first sacral nerve
UBERON 0019258	white matter of hindbrain
FMA 7645	First intercostal nerve
UBERON 0001536	left common carotid artery plus branches
FMA 82628	Nerve to inferior longitudinal muscle of tongue
UBERON 0012252	endocervical epithelium
UBERON 0003124	chorion membrane
HGNC 11724	TEK
HGNC 6111	IQGAP2
PCL 0051113	DLCT6b_112 glutamatergic neuron (Hsap)
FMA 81300	Nerve to teres major
HGNC 145	ACTG2
UBERON 0000428	prostate epithelium
FMA 8782	Anterior ramus of fourth sacral nerve
CL 0000786	plasma cell
FMA 0329297	Anterior superior pancreaticoduodenal vein
CL 1000849	kidney distal convoluted tubule epithelial cell
FMA 4734	Fifth anterior intercostal vein
UBERON 0014380	flexor digitorum brevis muscle
CL 0008034	mural cell
HGNC 30988	BNC2
HGNC 28344	C1orf162
FMA 44929	Second dorsal digital branch of ulnar nerve
HGNC 49642	LINC01210
UBERON 0014637	thoracic spinal cord white matter
FMA 16141	Inferior articular process of fifth lumbar vertebra
UBERON 0035462	anterior parietal artery
UBERON 0002989	anconeus muscle
PCL 0051204	DG_203 dentate gyrus granule cell (Hsap)
HGNC 6352	KLHL1
UBERON 8600029	chorionic immature intermediate villus
UBERON 0003333	submucosa of jejunum
PCL 0051380	Splat_379 neuron (Hsap)
CL 0000980	plasmablast
CL 0000706	choroid plexus epithelial cell
FMA 67952	Branch of musculocutaneous nerve to brachialis
FMA 9268	Inferior articular process of fourth thoracic vertebra
FMA 44993	Dorsal digital branch of radial nerve to lateral side of middle finger
FMA 71813	Inferior mesenteric lymph node group
UBERON 0002842	fifth cervical dorsal root ganglion
UBERON 0004536	lymph vasculature
UBERON 0009967	spleen venous sinus
UBERON 0001388	gastrocnemius
UBERON 0011194	ophthalmic plexus
FMA 52665	Supra-orbital nerve proper
PCL 0051020	Vsmc_19 brain vascular cell (Hsap)
FMA 12954	Anterior root of seventh cervical nerve
FMA 6235	Lingual branch of vagus nerve
UBERON 0008521	gluteus minimus
UBERON 0006107	basolateral amygdaloid nuclear complex
UBERON 0003920	venous blood vessel
FMA 23062	Pectoral branch of thoraco-acromial artery
CL 0009080	tuft cell of small intestine
UBERON 0012398	large intestine smooth muscle circular layer
UBERON 0015160	supraorbital artery
PCL 0051442	Midi_441 midbrain-derived inhibitory neuron (Hsap)
PCL 0051355	Splat_354 neuron (Hsap)
PCL 0051224	EMSN_223 medium spiny neuron (Hsap)
UBERON 0035530	basal vein
HGNC 9403	PRKCH
PCL 0051311	URL_310 cerebellar granule cell (Hsap)
HGNC 921	B3GAT1
FMA 38616	Ulnar head of flexor carpi ulnaris
HGNC 799	ATP1A1
HGNC 4826	HBM
PCL 0051376	Splat_375 neuron (Hsap)
HGNC 2466	CSPG4
UBERON 0035234	medial circumflex femoral vein
HGNC 2893	DKK3
UBERON 0001584	left subclavian artery
HGNC 17150	CARHSP1
UBERON 0005336	capillary layer of choroid
CL 0002364	cortical thymic epithelial cell
FMA 52772	Orbital branch of maxillary nerve to ethmoidal sinus
HGNC 13278	EPB41L4A
FMA 79972	Nerve to abductor digiti minimi of foot
UBERON 0001714	cranial ganglion
FMA 322906	Second left marginal artery
FMA 20619	Communicating branch of iliohypogastric nerve with subcostal nerve
UBERON 0035139	anterior nasal spine of maxilla
FMA 4712	Posterior vein of left ventricle
HGNC 11195	SOX2
CL 0009100	hepatic portal fibroblast
UBERON 0000962	nerve of cervical vertebra
